A1,A2Atlantida,A3,A4Equipo,A5,A6Canelones,A7,A8Equipo,A9,A10Santa Lucia,A11,A12Equipo,A13,A14San Jose de Carrasco / Shangrila,A15,A16Equipo,A17,A18Toledo,A19,A20Equipo,A21,A22Pando,A23,A24Equipo,A25,A26Las Piedras,A27,A28Equipo,A29,A30,A31Backofice San Jose de Carrasco/Lagomar 2,A32,A33Equipo,A34,A35La Paz,A36,A37Equipo,A38,A39Salinas,A40,A41Equipo,A42,A43Sala Lumiere,A44,A45Equipo,A46,A47San Ramon,A48,A49Equipo,A50,A51Tala,A52,A53Equipo,A54,A55Migues,A56,A57Equipo,A58,A59Progreso,A60,A61Equipo,A62,A63Parque del Plata,A64,A65Equipo,A66,A67La Floresta,A68,A69Equipo,A70,A71Soca,A72,A73Equipo,A74,A75Los Titanes,A76,A77Equipo,A78,A79San Luis,A80,A81Equipo,A82,A83Cuchilla Alta,A84,A85Equipo,A86,A87Santa Teresita,A88,A89Equipo,A90,A91Empalme Olmos,A92,A93Equipo,A94,A95San Jacinto,A96,A97Equipo,A98,A99Solymar,A100,A101Equipo,A102,A103Joanico,A104,A105Equipo,A106,A107Los Cerrillos,A108,A109Equipo,A110,A111Santa Rosa,A112,A113Equipo,A114,A115Sauce,A116,A117Equipo,A118<,A119Centro Civico (Shopping Costa Urbana),A120,A121Equipo,A122,A123Tienda Shopping Costa Urbana,A124,A125Equipo,A126,A127Central Salinas,A128,A129Equipo,A130,A131El Pinar,A132,A133Equipo,A134,A135San Jacinto,A136,A137Equipo,A138,A139Datacenter Pando,A140,A141Equipo,A142,A143San Bautista,A144,A145Equipo,A146,A147Shopping Las Piedras,A148,A149Equipo,A150,A151Barros Blancos,A152,A153Equipo
,,227,ocupada,A2107054,,227,,,,227,,,,227,,,,227,,,,227,A1108314,,,227,A4106435,,,,227,A5203424,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,Liberada,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,,,,227,
,,228,ocupada,A2107055,,228,,,,228,,,,228,,,,228,,,,228,A1108351,,,228,A4106805,,,,228,A5208620,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,AF107083,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,,,,228,
,,229,ocupada,A2101492,,229,,,,229,,,,229,,,,229,,,,229,,,,229,A4107286,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,AF107233,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,,,,229,
,,230,Ocupada,A2107301,,230,,,,230,,,,230,,,,230,,,,230,,,,230,A4107289,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,,,,230,
,,231,Liberada,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,A4107322,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,,,,231,
,,232,Ocupada,A2105045,,232,,,,232,,,,232,,,,232,,,,232,,,,232,A4106697,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,,,,232,
,,233,Liberada,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,A4108525,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,,,,233,
,,234,A2104019,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,,,,234,
,,235,Ocupada,A2101844,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,,,,235,
,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,,,,236,
,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,,,,237,
,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,,,,238,
,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,,,,239,
Rango Print Servers,,240,ocupada,A2161124,,240,A0161652,,,240,,,,240,,,,240,,,,240,A1161323,,,240,Ocupada,A4161026,,,240,Multifuncion,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,AF160700,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,,,,240,
Rango Print Servers,,241,Ocupada,A2161393,,241,,,,241,,,,241,,,,241,,,,241,A1161324,,,241,Ocupada,A4161047,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,AF861109,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,,,,241,
Rango Print Servers,,242,Liberada,,,242,,,,242,,,,242,,,,242,,,,242,A1161325,,,242,Ocupada,A4161048,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,AF861192,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,,,,242,
Rango Print Servers,,243,Ocupada,A2161127,,243,,,,243,,,,243,,,,243,,,,243,A1161326,,,243,Ocupada,A4161138,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,,,,243,
Rango Print Servers,,244,Ocupada,A2161538 ,,244,,,,244,,,,244,,,,244,,,,244,ocupada,,,244,Ocupada,A4161146,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,,,,244,
Rango Print Servers,,245,,,,245,,,,245,,,,245,,,,245,,,,245,A1161328,,,245,Ocupada,A4161147,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,,,,245,
Rango Print Servers,,246,,,,246,,,,246,,,,246,,,,246,,,,246,A1161588,,,246,Ocupada,A4161171,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,,,,246,
Rango Print Servers,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,Ocupada,A4161193,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,,,,247,
Rango Print Servers,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,,,,248,
,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,,,,249,
,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,,,,250,
,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,,,,251,
,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,,,,252,
,,253,POS,,,253,POS,,,253,,,,253,,,,253,,,,253,POS,,,253,POS,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,POS,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,,,,253,
,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,,,,254,
